SMILES,IC50_nM
O=C(Nc1cnccc1-c1ccccc1)c1ccnc(NC(=O)C2CCC2)c1,260.0
O=C(Nc1cncc(-c2ccccc2)c1)c1ccnc(NC(=O)C2CCC2)c1,1600.0
CC1(C)CC(C(=O)Nc2cc(C(=O)Nc3cnccc3-c3ccccc3)ccn2)C1,170.0
O=C(Nc1cnccc1-c1ccccc1)c1ccnc(NC(=O)C2CC(F)(F)C2)c1,120.0
O=C(Nc1cncc(-c2ccccc2)c1)c1ccnc(NC(=O)C2CC(F)(F)C2)c1,490.0
O=C(Nc1cnccc1N1CCC(F)(F)CC1)c1ccnc(NC(=O)[C@H]2C[C@H](Cl)C2)c1,1.7
O=C(Nc1cnccc1N1CCC(F)(F)CC1)c1ccnc(NC(=O)[C@H]2C[C@@H](Cl)C2)c1,1.9
O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)[C@H]2C[C@H](Cl)C2)c1,15.0
O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)[C@H]2C[C@@H](Cl)C2)c1,43.0
O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)[C@H]2C[C@H](F)C2)c1,37.0
O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)[C@H]2C[C@@H](F)C2)c1,150.0
CCOc1ccncc1NC(=O)c1ccnc(NC(=O)C2CCCC2)c1,31.0
O=C(Nc1cnccc1-c1ccccc1)c1ccnc(NC(=O)C2CCCC2)c1,69.0
O=C(Nc1cncc(-c2ccccc2)c1)c1ccnc(NC(=O)C2CCCC2)c1,330.0
O=C(Nc1cnccc1-c1ccccc1)c1ccnc(NC(=O)[C@@H]2CC[C@@H](O)C2)c1,73.0
O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)C2CCC(F)(F)C2)c1,30.0
O=C(Nc1cncc(-c2ccccc2F)c1)c1ccnc(NC(=O)C2CCC(F)(F)C2)c1,160.0
O=C(Nc1cncc(-c2cccc(F)c2F)c1)c1ccnc(NC(=O)C2CCC(F)(F)C2)c1,130.0
O=C(Nc1cncc(-c2ccccc2Cl)c1)c1ccnc(NC(=O)C2CCC(F)(F)C2)c1,94.0
O=C(Nc1cnccc1-c1ccccc1)c1ccnc(NC(=O)C2CCOCC2)c1,580.0
O=C(Nc1cnccc1N1CCC(F)(F)CC1)c1ccnn2c(NCC3CC3)cnc12,41.0
CC1CN(c2ccncc2NC(=O)c2ccnn3cc(C4CC4)nc23)CCO1,60.0
O=C(Nc1cnccc1N1CCC(F)(F)CC1)c1ccnn2cc(C3CC3)nc12,120.0
CC(C)Oc1ccncc1NC(=O)c1ccnn2cc(-c3ccccc3)nc12,83.0
O=C(Nc1cnccc1-c1ccccc1)c1ccnn2cc(-c3ccccc3)nc12,910.0
O=C(Nc1cnccc1N1CCC(F)(F)CC1)c1ccnn2cc(-c3ccccc3)nc12,30.0
O=C(Nc1cnccc1N1CCOCC1)c1ccnn2cc(-c3ccccc3)nc12,36.0
C[C@H]1CN(c2ccncc2NC(=O)c2ccnn3cc(-c4ccccc4)nc23)CCO1,9.2
C[C@@H]1CN(c2ccncc2NC(=O)c2ccnn3cc(-c4ccccc4)nc23)CCO1,86.0
COc1ccccc1-c1cn2nccc(C(=O)Nc3cnccc3N3CCOC(C)C3)c2n1,58.0
CC1CN(c2ccncc2NC(=O)c2ccnn3cc(-c4ccc(C(F)(F)F)cc4)nc23)CCO1,130.0
COc1ccc2nc(C(=O)OCc3ccc(C(F)(F)F)cc3)sc2c1,2.4
COc1ccc2nc(C(=O)OCc3cccc(F)c3)sc2c1,13.2
COc1ccc2nc(C(=O)Nc3ccc(CO)cc3)sc2c1,215.0
COc1ccc2nc(C(=O)Nc3ccncc3)sc2c1,761.0
COc1ccc2nc(-c3cn(CCOCCO)nn3)sc2c1,13.6
COc1ccc2nc(-c3cn(CCCCCCCCO)nn3)sc2c1,241.7
COc1ccc2nc(-c3cn(CCCCCCCO)nn3)sc2c1,45.5
COc1ccc2nc(-c3cn(CCCO)nn3)sc2c1,28.5
COc1ccc2nc(-c3cn(CCO)nn3)sc2c1,59.4
COc1ccc2nc(-c3cn(Cc4ccc(C#N)cc4)nn3)sc2c1,0.46
COc1ccc2nc(-c3cn(CCc4ccc([N+](=O)[O-])cc4)nn3)sc2c1,28.1
COc1ccc2nc(-c3cn(CCc4ccc(O)cc4)nn3)sc2c1,171.3
COc1ccc2nc(-c3cn(Cc4ccccc4)nn3)sc2c1,341.4
COc1ccc2nc(-c3cn(Cc4ccc(C(F)(F)F)cc4)nn3)sc2c1,84.8
COc1ccc2nc(-c3cn(Cc4ccc(F)cc4)nn3)sc2c1,3.8
CNc1ccc(-n2cc(-c3nc4ccc(O)cc4s3)nn2)cn1,8.1
CNc1ccc(-n2cc(-c3nc4ccc(OC)cc4s3)nn2)cn1,39.4
COc1ccc2nc(-c3cn(-c4ccc(N)nc4)nn3)sc2c1,6.3
Cc1ccc(NC[C@@H]2CCCN3CCCC[C@H]23)c2c(=O)c3cc(O)ccc3sc12,9100.0
Cc1ccc(NCC[C@@H]2CCCN3CCCC[C@H]23)c2c(=O)c3cc(O)ccc3sc12,8900.0
Cc1ccc(NCCC[C@@H]2CCCN3CCCC[C@H]23)c2c(=O)c3cc(O)ccc3sc12,7300.0
COc1ccc2sc3c(C)ccc(NC[C@@H]4CCCN5CCCC[C@H]45)c3c(=O)c2c1,5500.0
COc1ccc2sc3c(C)ccc(NCCC[C@@H]4CCCN5CCCC[C@H]45)c3c(=O)c2c1,5900.0
COc1ccc2sc3c([N+](=O)[O-])ccc(NCC[C@@H]4CCCN5CCCC[C@H]45)c3c(=O)c2c1,6900.0
COc1ccc2sc3c([N+](=O)[O-])ccc(NCCC[C@@H]4CCCN5CCCC[C@H]45)c3c(=O)c2c1,3000.0
Nc1ccc(NC[C@@H]2CCCN3CCCC[C@H]23)c2c(=O)c3ccccc3sc12,8600.0
COc1ccc2sc3c(C)ccc(NCCC4CCN(C)CC4)c3c(=O)c2c1,1800.0
CCN(CC)CCCNc1ccc([N+](=O)[O-])c2sc3ccc(OC)cc3c(=O)c12,4800.0
COc1cccc(C(c2ccc(F)cc2)N2CCN(c3cnccn3)CC2)c1O,2210.0
Cc1ccc(C(c2ccccc2O)N2CCN(c3cnccn3)CC2)cc1,2710.0
